state,year,vsat,msat,wsat,pertake,rexppp
Alabama ,2008,565,557,554,8,10447.05432
Alaska ,2008,520,520,493,45,17890.01011
Arizona ,2008,516,522,500,26,9648.428805
Arkansas ,2008,575,567,559,5,10576.38912
California ,2008,499,515,498,48,10814.03089
Colorado ,2008,564,570,553,21,11154.30593
Connecticut ,2008,509,513,513,83,16840.51809
Delaware ,2008,499,498,490,70,14298.07397
District of Columbia ,2008,470,455,465,84,23261.22709
Florida ,2008,496,497,481,54,10857.08952
Georgia ,2008,491,493,482,70,11473.67978
Hawaii ,2008,481,502,470,58,14281.03753
Idaho ,2008,540,540,517,18,8275.7726
Illinois ,2008,583,601,578,7,12995.50443
Indiana ,2008,496,508,481,62,10697.88767
Iowa ,2008,603,612,582,3,10204.49882
Kansas ,2008,580,589,564,7,12370.4651
Kentucky ,2008,568,570,554,8,11112.54473
Louisiana ,2008,566,564,558,7,12070.37234
Maine ,2008,469,466,461,87,14731.35897
Maryland ,2008,499,502,497,69,15787.98986
Massachusetts ,2008,514,525,513,83,16069.03739
Michigan ,2008,581,598,572,6,12470.6825
Minnesota ,2008,596,609,579,8,11921.36023
Mississippi ,2008,574,556,566,3,9444.62032
Missouri ,2008,594,597,584,5,11187.04628
Montana ,2008,541,548,523,24,11784.04719
Nebraska ,2008,581,585,567,5,12540.08064
Nevada ,2008,498,506,478,40,9939.618721
New Hampshire ,2008,521,523,511,74,13728.85404
New Jersey ,2008,495,513,496,76,20317.9649
New Mexico ,2008,557,548,540,12,10482.67862
New York ,2008,488,504,481,84,20596.53728
North Carolina ,2008,496,511,482,63,9407.521476
North Dakota ,2008,594,604,568,3,10773.69348
Ohio ,2008,534,544,521,24,12716.07158
Oklahoma ,2008,572,572,557,6,9246.14011
Oregon ,2008,523,527,502,53,11724.34743
Pennsylvania ,2008,494,501,483,71,13966.61368
Rhode Island ,2008,495,498,493,66,17711.79373
South Carolina ,2008,488,497,476,61,10982.09008
South Dakota ,2008,595,596,575,3,10114.06197
Tennessee ,2008,571,570,566,11,9456.551717
Texas ,2008,488,505,480,50,10094.456
Utah ,2008,561,557,543,6,7648.200558
Vermont ,2008,519,523,507,64,16868.66005
Virginia ,2008,511,512,499,68,12756.61054
Washington ,2008,526,533,509,52,11007.07148
West Virginia ,2008,512,501,498,19,11855.84106
Wisconsin ,2008,587,604,577,5,12711.41532
Wyoming ,2008,562,574,541,6,16698.35302
Alabama ,2009,557,552,549,7,10347.75348
Alaska ,2009,520,516,492,46,18547.08832
Arizona ,2009,516,521,497,26,9627.832363
Arkansas ,2009,572,572,556,5,10640.67385
California ,2009,500,513,498,49,10407.06442
Colorado ,2009,568,575,555,20,10596.46825
Connecticut ,2009,509,513,512,83,17464.50439
Delaware ,2009,495,498,484,71,14061.21795
District of Columbia ,2009,466,451,461,79,21793.23937
Florida ,2009,497,498,480,59,10421.5255
Georgia ,2009,490,491,479,71,11221.92882
Hawaii ,2009,479,502,469,58,14770.92812
Idaho ,2009,541,540,520,18,8343.484906
Illinois ,2009,588,604,583,6,13770.09446
Indiana ,2009,496,507,480,63,10966.27232
Iowa ,2009,610,615,588,3,11556.86452
Kansas ,2009,581,589,564,7,12663.59435
Kentucky ,2009,573,573,561,7,11084.76477
Louisiana ,2009,563,558,555,7,12579.99698
Maine ,2009,468,467,455,90,14949.20569
Maryland ,2009,500,502,495,69,16110.55589
Massachusetts ,2009,514,526,510,84,16813.04955
Michigan ,2009,584,603,575,5,12671.80139
Minnesota ,2009,595,609,578,7,12792.30156
Mississippi ,2009,567,554,559,4,9492.639249
Missouri ,2009,595,600,584,5,11402.20674
Montana ,2009,541,542,519,22,11996.85378
Nebraska ,2009,587,594,572,4,12631.69592
Nevada ,2009,501,505,479,42,9773.869495
New Hampshire ,2009,523,523,510,75,14236.62915
New Jersey ,2009,496,513,496,76,19257.79344
New Mexico ,2009,553,546,534,11,10724.95905
New York ,2009,485,502,478,85,21359.82187
North Carolina ,2009,495,511,480,63,10107.70696
North Dakota ,2009,590,593,566,3,11150.27311
Ohio ,2009,537,546,523,22,13126.07677
Oklahoma ,2009,575,571,557,5,9286.705339
Oregon ,2009,523,525,499,52,11767.69265
Pennsylvania ,2009,493,501,483,71,14321.55046
Rhode Island ,2009,498,496,494,66,17874.42095
South Carolina ,2009,486,496,470,67,11033.18589
South Dakota ,2009,589,600,569,3,10426.87625
Tennessee ,2009,571,565,565,10,9566.127038
Texas ,2009,486,506,475,51,10210.04789
Utah ,2009,559,558,540,6,7807.267421
Vermont ,2009,518,518,506,64,17721.89285
Virginia ,2009,511,512,498,68,12895.78759
Washington ,2009,524,531,507,53,11491.8285
West Virginia ,2009,511,501,499,18,12262.49324
Wisconsin ,2009,594,608,582,5,12980.70005
Wyoming ,2009,567,568,550,5,17264.35411
Alabama ,2010,556,550,544,7,10432.81872
Alaska ,2010,518,515,491,48,18946.13771
Arizona ,2010,519,525,500,25,9561.710009
Arkansas ,2010,566,566,552,4,11178.65205
California ,2010,501,516,500,50,10570.74141
Colorado ,2010,568,572,555,18,10644.16928
Connecticut ,2010,509,514,513,84,17616.92908
Delaware ,2010,493,495,481,71,14117.66587
District of Columbia ,2010,474,464,466,76,23241.38657
Florida ,2010,496,498,479,59,10224.87414
Georgia ,2010,488,490,475,74,10761.80595
Hawaii ,2010,483,505,470,58,14072.20438
Idaho ,2010,543,541,517,19,8169.561045
Illinois ,2010,585,600,577,6,14287.24946
Indiana ,2010,494,505,477,64,11094.801
Iowa ,2010,603,613,582,3,11491.83125
Kansas ,2010,590,595,567,6,11857.94901
Kentucky ,2010,575,575,563,6,11330.78803
Louisiana ,2010,555,550,547,7,12549.04694
Maine ,2010,468,467,454,92,15386.19838
Maryland ,2010,501,506,495,70,16311.5647
Massachusetts ,2010,512,526,509,86,15978.7837
Michigan ,2010,585,605,576,5,12734.36894
Minnesota ,2010,594,607,580,7,12411.52714
Mississippi ,2010,566,548,552,3,9467.35878
Missouri ,2010,593,595,580,4,11431.03813
Montana ,2010,538,538,517,24,12517.65448
